No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
11,Camp 8,@LeonardoPerez-m1i,6 days ago,Masayang Panonood po mga kabgis. Camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy16OweJFtCpPNo1nF4AaABAg,Ugy16OweJFtCpPNo1nF4AaABAg,UC6_GRFYOfHGcz3qYXV5adQw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
12,Camp 8,@Vey_B,6 days ago,Magandang hapon po! Enjoy watching po habang nanananghalian. Pagbati po mula sa lokal ng Camp 8 Distrito ng Benguet. ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgylmEg1_w-SRh51ypp4AaABAg,UgylmEg1_w-SRh51ypp4AaABAg,UCs0ieULo51Fa89D7xPRNENg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
13,Camp 8,@gladysabad8665,6 days ago,❤❤❤ camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyxf5BH7W5LX2zqLcV4AaABAg,Ugyxf5BH7W5LX2zqLcV4AaABAg,UCp31Lwos5f6VPnIY9zaFbRA,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
14,Camp 8,@carmenh.aparijado4265,6 days ago,"Breakfast and watching ❤❤❤😂😂😂 here at CAMP 8 ,BAGUIO CITY LOVE IT MGA BRETHREN.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxm1GKUGK4GgZFYhNl4AaABAg,Ugxm1GKUGK4GgZFYhNl4AaABAg,UCO3tyBIEwOr9KD4PhDDlN3w,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
15,Camp 8,@ericklangit4769,6 days ago,watching from lokal ng Camp 8 Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyr09Ht5uWg-Qsyjdl4AaABAg,Ugyr09Ht5uWg-Qsyjdl4AaABAg,UCc-ZstLts4gvt89m8VUHmkA,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
16,Camp 8,@LeonardoPerez-m1i,6 days ago,Naragsak nga panagbuya camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxv7KsVU9UvCWvFMGd4AaABAg,Ugxv7KsVU9UvCWvFMGd4AaABAg,UC6_GRFYOfHGcz3qYXV5adQw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
17,Camp 8,@gladysabad8665,7 days ago,❤❤❤ camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz1r2x2uICO8boulOV4AaABAg,Ugz1r2x2uICO8boulOV4AaABAg,UCp31Lwos5f6VPnIY9zaFbRA,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
18,Camp 8,@danizamaevaldez,7 days ago,"good noon po, maligayang panunuod parin po mula sa lokal ng camp 8",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzZ_uJoqgb9bz5Ijv54AaABAg,UgzZ_uJoqgb9bz5Ijv54AaABAg,UC112ZCZpJD-lYPwWVGGstag,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
19,Camp 8,@rolandarquillo4802,7 days ago,"Watching po lokal ng camp 8,distrito ng benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxW8FUb3UMRLqkaHi54AaABAg,UgxW8FUb3UMRLqkaHi54AaABAg,UCuSw6XW2fw7n58FG7cpwa3A,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
20,Camp 8,@karlamaeleongson9864,7 days ago,Binabati po namen Ang lokal ng sablan at lokal ng camp 8 Happy Viewing po sa lahat♥️ / fr.Zoilo Family  / Lokal ng La Trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9Cw6wvwI3RWGY3RB4AaABAg,Ugx9Cw6wvwI3RWGY3RB4AaABAg,UCNHkoYqgQUbLAW8cTM2pWCg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
21,Camp 8,@EvalynMarquez-w5e,8 days ago,Happy viewing po sa lahat ng kapatid mula po dito sa lokal ng camp 8 distrito ng Benguet 🎉❤❤❤❤❤❤❤❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx4nOcJy1X8JYgk4Oh4AaABAg.AWoV5M3dXxaAWuXITQC9Zh,Ugx4nOcJy1X8JYgk4Oh4AaABAg.AWoV5M3dXxaAWuXITQC9Zh,UCYNZ403AsCE_KejJL5mnMvw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
22,Camp 8,@LeonardoPerez-m1i,8 days ago,"Watching po from Camp 8, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZI5NyDLjWPACP9ml4AaABAg,UgxZI5NyDLjWPACP9ml4AaABAg,UC6_GRFYOfHGcz3qYXV5adQw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
23,Camp 8,@gladysabad8665,8 days ago,❤❤❤ from lokal ng camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxbaFqnEvT7A3A8YsN4AaABAg,UgxbaFqnEvT7A3A8YsN4AaABAg,UCp31Lwos5f6VPnIY9zaFbRA,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
24,Camp 8,@RommelDeSesto-f1y,8 days ago,watching parin po mula sa lokal ng camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzzZkC8m9aLprAppX54AaABAg,UgzzZkC8m9aLprAppX54AaABAg,UCajC-4lICiOJPaTRg0fK4PA,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
25,Camp 8,@DaveValdez-p5i9i,8 days ago,happy viewing mula po sa lokal ng camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyDo-KmKlrdnIfD3jx4AaABAg,UgyDo-KmKlrdnIfD3jx4AaABAg,UC3SwKJ1jjMEI74XRzJRDKrg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
26,Camp 8,@DaveValdez-p5i9i,8 days ago,watching parin po mula sa lokal ng camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyyzCizlMPjAPJM4o94AaABAg,UgyyzCizlMPjAPJM4o94AaABAg,UC3SwKJ1jjMEI74XRzJRDKrg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
27,Camp 8,@AnaLizaValdez-x4j,8 days ago,"greetings mula sa lokal ng camp 8, go benguet ❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwAacOoETrFQUu3dhp4AaABAg,UgwAacOoETrFQUu3dhp4AaABAg,UCHMQcHdI0vT_vOntrA_i6tg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
28,Camp 8,@LeonardoPerez-m1i,8 days ago,"Camp 8, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxHegoC6J1RygOBfIZ4AaABAg,UgxHegoC6J1RygOBfIZ4AaABAg,UC6_GRFYOfHGcz3qYXV5adQw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
29,Camp 8,@RommeldeSesto,8 days ago,"happy viewing, mula po sa lokal ng camp 8",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzE72nGP5BHRtPvz4t4AaABAg,UgzE72nGP5BHRtPvz4t4AaABAg,UC9uiWr67Cv4cielnUekFoUQ,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
30,Camp 8,@danizamaevaldez,8 days ago,"watching po, mula sa lokal ng camp 8 ❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxe1eX6QskrhdAf8sB4AaABAg,Ugxe1eX6QskrhdAf8sB4AaABAg,UC112ZCZpJD-lYPwWVGGstag,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
31,Camp 8,@EvalynMarquez-w5e,8 days ago,Happy viewing  po sa lahat ng kapatid mula po dito sa lokal ng camp 8  ng distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxhM23YcfVdVSXmMzV4AaABAg,UgxhM23YcfVdVSXmMzV4AaABAg,UCYNZ403AsCE_KejJL5mnMvw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
32,Camp 8,@nenilucacas2891,8 days ago,"Watching po from camp 8 locale, benguet  district",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw8tSW-jgkL3dvrKsF4AaABAg,Ugw8tSW-jgkL3dvrKsF4AaABAg,UCYbRNBC3vBC1XD65tA-dNyw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
33,Camp 8,@cherylaquino-langit504,8 days ago,watching from local ng camp 8 - benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxaqEhJMoLAUAm5X9V4AaABAg,UgxaqEhJMoLAUAm5X9V4AaABAg,UCGTpRiLgsYdUa4qTx8r-Fkg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
34,Camp 8,@ericklangit4769,8 days ago,Watching from lokal ng Camp 8 Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxhZnuCck9IwXvpGUB4AaABAg,UgxhZnuCck9IwXvpGUB4AaABAg,UCc-ZstLts4gvt89m8VUHmkA,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
35,Camp 8,@gladysabad8665,8 days ago,❤❤❤ camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxiSp4VnRAtKZPmOL54AaABAg,UgxiSp4VnRAtKZPmOL54AaABAg,UCp31Lwos5f6VPnIY9zaFbRA,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
36,Camp 8,@carmenh.aparijado4265,8 days ago,Happy viewing at camp 8 LOKAL.😅,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxJqC8nturqebRbiBl4AaABAg,UgxJqC8nturqebRbiBl4AaABAg,UCO3tyBIEwOr9KD4PhDDlN3w,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
37,Camp 8,@DaveValdez-p5i9i,8 days ago,Watching from camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwvIFtrQekMK848-Cp4AaABAg,UgwvIFtrQekMK848-Cp4AaABAg,UC3SwKJ1jjMEI74XRzJRDKrg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
38,Camp 8,@oniuqafebeabad4065,8 days ago,Maganding Hapon po! Mula po sa lokal nang camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwzIzzPhGjHn4zYxy94AaABAg,UgwzIzzPhGjHn4zYxy94AaABAg,UCvA5hR2Dm-ufjmJnOfXHx2A,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
39,Camp 8,@LeonardoPerez-m1i,8 days ago,Camp 8 po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxBJ0TZgDrjYoSbTwZ4AaABAg,UgxBJ0TZgDrjYoSbTwZ4AaABAg,UC6_GRFYOfHGcz3qYXV5adQw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
40,Camp 8,@CatherineMontes-w4k,8 days ago,"Happy watching po, mula po sa Lokal ng Camp 8",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzY6I6zPS3Ho-UdN1N4AaABAg,UgzY6I6zPS3Ho-UdN1N4AaABAg,UCgdBHQVY9VUitaY38SpViEw,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
41,Camp 8,@Vey_B,9 days ago,Happy watching po! Mula po sa lokal ng Camp 8 Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxeu_XMHNBWjfoCQG14AaABAg,Ugxeu_XMHNBWjfoCQG14AaABAg,UCs0ieULo51Fa89D7xPRNENg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
42,Camp 8,@gladysabad8665,9 days ago,❤❤❤ lokal ng camp 8,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyZDPZS-dcEhUzLsoh4AaABAg,UgyZDPZS-dcEhUzLsoh4AaABAg,UCp31Lwos5f6VPnIY9zaFbRA,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
43,Camp 8,@Vey_B,10 days ago,enjoy watching po! Go go Benguet! mula po sa lokal ng Camp 8 Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwzDWyPZNw9ubR2f5N4AaABAg,UgwzDWyPZNw9ubR2f5N4AaABAg,UCs0ieULo51Fa89D7xPRNENg,"Fetched 05/26/2026, 5:00:05 PM GMT+8"
